id;institution_id;campus_name;region_id;level_id;address;major_id;name;accredited;accredited_years;area_id;duration;duration_type;tuition;application_type;shift;entry_req;benefits;vacancies;repostulacion
I39S8C87J2V2;39;;NA;3;NA;142;INGENIERIA INDUSTRIAL;1;5;10;6;TRIMESTRES;2814100;NA;2;NA;0;NA;NA
I629S7C160J2V1;629;;5;1;NA;259;TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA CON ESPECIALIDAD EN CIBERSEGURIDAD;1;4;10;5;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I117S1C29J4V2;117;;13;2;NA;131;INGENIERIA EN RECURSOS HUMANOS;1;NA;1;4;BIMESTRES;1710000;NA;4;NA;0;NA;NA
I633S0C2J1V1;633;;9;1;NA;176;TECNICO EN PSICOEDUCACION Y EDUCACION SOCIAL;1;4;5;6;SEMESTRES;1570000;NA;1;NA;0;NA;NA
I117S1C2J4V2;117;;13;2;NA;3;INGENIERIA EN ADMINISTRACION DE EMPRESAS;1;NA;1;4;BIMESTRES;1720000;NA;4;NA;0;NA;NA
I117S1C30J4V1;117;;13;2;NA;270;CONTABILIDAD GENERAL;1;NA;1;5;BIMESTRES;1600000;NA;4;NA;0;NA;NA
I117S1C31J4V1;117;;13;2;NA;247;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA;1;NA;5;5;BIMESTRES;1530000;NA;4;NA;0;NA;NA
I117S1C35J4V1;117;;13;2;NA;339;TECNICO EN PREVENCION DE RIESGOS;1;NA;10;5;BIMESTRES;1620000;NA;4;NA;0;NA;NA
I19S6C334J2V2;19;;NA;3;NA;77;INGENIERIA CIVIL INDUSTRIAL;1;4;10;5;SEMESTRES;3858000;NA;2;NA;0;NA;NA
I3S1C151J1V1;3;;NA;3;NA;197;PEDAGOGIA EN LENGUA CASTELLANA Y COMUNICACION;1;5;7;2;SEMESTRES;3497000;NA;1;NA;1;NA;NA
I19S6C37J5V1;19;;NA;3;NA;152;MEDICINA VETERINARIA;1;4;2;10;SEMESTRES;4416000;NA;2;NA;0;NA;NA
I117S1C59J4V1;117;;13;2;NA;327;TECNICO DE NIVEL SUPERIOR EN GESTION DE CALIDAD Y AMBIENTE;1;NA;10;5;BIMESTRES;1570000;NA;4;NA;0;NA;NA
I117S1C60J4V1;117;;13;2;NA;314;TECNICO DE NIVEL SUPERIOR EN LOGISTICA;1;NA;1;5;BIMESTRES;1560000;NA;4;NA;0;NA;NA
I3S1C158J2V2;3;;NA;3;NA;4;INGENIERIA EN ADMINISTRACION DE EMPRESAS;1;5;1;8;SEMESTRES;3257000;NA;2;NA;1;NA;NA
I117S1C62J4V1;117;;13;2;NA;357;TECNICO DE NIVEL SUPERIOR EN TRABAJO SOCIAL;1;NA;5;5;BIMESTRES;1560000;NA;4;NA;0;NA;NA
I117S1C63J4V1;117;;13;2;NA;378;TECNICO DE NIVEL SUPERIOR JURIDICO;1;NA;6;5;BIMESTRES;1430000;NA;4;NA;0;NA;NA
I117S1C65J4V1;117;;13;2;NA;37;CONTADOR AUDITOR;1;NA;1;8;BIMESTRES;1650000;NA;4;NA;0;NA;NA
I633S0C90J4V1;633;;9;1;NA;246;TECNICO DE NIVEL SUPERIOR EN GESTION MUNICIPAL;1;4;5;4;SEMESTRES;1750000;NA;4;NA;0;NA;NA
I117S1C67J4V1;117;;13;2;NA;141;INGENIERIA INDUSTRIAL;1;NA;10;8;BIMESTRES;1790000;NA;4;NA;0;NA;NA
I1S1C12J4V4;1;;NA;3;NA;201;PSICOLOGIA;1;3;5;8;TRIMESTRES;4148000;NA;4;NA;0;NA;NA
I117S1C68J4V1;117;;13;2;NA;238;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE REDES;1;NA;10;5;BIMESTRES;1600000;NA;4;NA;0;NA;NA
I3S1C407J2V1;3;;NA;3;NA;38;CONTADOR AUDITOR;1;5;1;8;SEMESTRES;3257000;NA;2;NA;1;NA;NA
I117S1C70J4V1;117;;13;2;NA;224;TECNICO DE NIVEL SUPERIOR EN EDUCACION DIFERENCIAL;1;NA;7;5;BIMESTRES;1450000;NA;4;NA;0;NA;NA
I117S1C71J4V1;117;;13;2;NA;221;TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA;1;NA;7;5;BIMESTRES;1450000;NA;4;NA;0;NA;NA
I117S1C73J4V1;117;;13;2;NA;332;TECNICO DE NIVEL SUPERIOR EN PROCESOS MINEROS;1;NA;10;5;BIMESTRES;1560000;NA;4;NA;0;NA;NA
I117S1C90J4V1;117;;13;2;NA;308;TECNICO DE NIVEL SUPERIOR EN AUTOMATIZACION Y CONTROL;1;NA;10;5;BIMESTRES;1600000;NA;4;NA;0;NA;NA
